nama_hewan,bentuk_paruh,bentuk_gigi,bentuk_kaki,bentuk_mulut,kategori_makanan
Gajah,Panjang,Tidak Ada,Empat,Luas,Herbivora
Harimau,Pendek,Tajam,Empat,Lebih Kecil,Karnivora
Kuda,Panjang,Runcing,Empat,Sedang,Omnivora
Kanguru,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Buaya,Panjang,Tajam,Empat,Lebar,Karnivora
Kura-kura,Kecil,Tumpul,Empat,Lebar,Herbivora
Burung Hantu,Panjang,Tidak Ada,Dua,Kecil,Karnivora
Koala,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Singa,Panjang,Tajam,Empat,Lebar,Karnivora
Siput,Kecil,Tidak Ada,Empat,Kecil,Herbivora
Katak,Kecil,Tidak Ada,Empat,Kecil,Omnivora
Kelinci,Panjang,Runcing,Empat,Kecil,Herbivora
Pinguin,Kecil,Tidak Ada,Dua,Kecil,Karnivora
Babi,Pendek,Tumpul,Empat,Sedang,Omnivora
Gajah Laut,Panjang,Tidak Ada,Empat,Lebar,Herbivora
Kucing,Pendek,Tajam,Empat,Kecil,Karnivora
Burung Elang,Panjang,Tajam,Dua,Lebar,Karnivora
Kuda Nil,Panjang,Tidak Ada,Empat,Lebar,Herbivora
Jerapah,Panjang,Tidak Ada,Empat,Lebar,Herbivora
Hiu,Panjang,Tajam,Empat,Lebar,Karnivora
Kelabang,Kecil,Tajam,Empat,Kecil,Karnivora
Kancil,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Komodo,Panjang,Tajam,Empat,Lebar,Karnivora
Ular,Kecil,Tajam,Tidak Ada,Tidak Ada,Karnivora
Kerbau,Pendek,Tidak Ada,Empat,Lebar,Herbivora
Monyet,Panjang,Tidak Ada,Empat,Lebar,Omnivora
Panda,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Anjing,Pendek,Tajam,Empat,Kecil,Omnivora
Lebah,Kecil,Tidak Ada,Enam,Kecil,Herbivora
Lumba-lumba,Panjang,Tidak Ada,Empat,Lebar,Karnivora
Kepiting,Kecil,Tidak Ada,Empat,Kecil,Karnivora
Burung Gagak,Kecil,Tidak Ada,Dua,Kecil,Omnivora
Paus,Panjang,Tidak Ada,Empat,Lebar,Karnivora
Pelikan,Kecil,Tidak Ada,Dua,Kecil,Omnivora
Kerbau,Lebih Panjang,Tidak Ada,Empat,Lebar,Herbivora
Gorila,Panjang,Tidak Ada,Empat,Lebar,Omnivora
Cheetah,Panjang,Tajam,Empat,Kecil,Karnivora
Singa Laut,Panjang,Tajam,Empat,Lebar,Karnivora
Burung Hantu,Kecil,Tidak Ada,Dua,Kecil,Karnivora
Penguin,Kecil,Tidak Ada,Dua,Kecil,Karnivora
Badak,Panjang,Tidak Ada,Empat,Lebar,Herbivora
Kupu-kupu,Kecil,Tidak Ada,Enam,Kecil,Herbivora
Paus,Lebih Panjang,Tidak Ada,Empat,Lebar,Karnivora
Flamingo,Panjang,Tumpul,Dua,Lebar,Omnivora
Oryx,Pendek,Tajam,Empat,Lebar,Herbivora
Lutung,Panjang,Runcing,Empat,Kecil,Omnivora
Salamander,Kecil,Tumpul,Empat,Kecil,Karnivora
Zebra,Panjang,Tidak Ada,Empat,Kecil,Herbivora
Capung,Kecil,Tajam,Enam,Kecil,Karnivora
Kelelawar,Lebih Panjang,Tajam,Dua,Lebar,Karnivora
Jerit,Pendek,Tumpul,Empat,Sedang,Karnivora
Tapir,Panjang,Runcing,Empat,Lebar,Herbivora
Trenggiling,Kecil,Tumpul,Empat,Kecil,Karnivora
Unicorn,Panjang,Tajam,Empat,Kecil,Herbivora
Kakatua,Kecil,Tumpul,Dua,Kecil,Omnivora
Musang,Pendek,Tajam,Empat,Kecil,Karnivora
Kancil,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Panda Merah,Pendek,Tumpul,Empat,Kecil,Omnivora
Owa-owa,Panjang,Runcing,Empat,Kecil,Herbivora
Linsang,Kecil,Tajam,Empat,Kecil,Karnivora
Lele,Kecil,Tidak Ada,Empat,Kecil,Omnivora
Kuau,Panjang,Tajam,Empat,Lebar,Karnivora
Kepik,Kecil,Tidak Ada,Enam,Kecil,Herbivora
Delfin,Panjang,Tidak Ada,Empat,Lebar,Karnivora
Gaur,Lebih Panjang,Tidak Ada,Empat,Lebar,Herbivora
Chinchilla,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Kuda Laut,Panjang,Tidak Ada,Tidak Ada,Kecil,Omnivora
Armadillo,Kecil,Runcing,Empat,Kecil,Karnivora
Kutilang,Kecil,Tidak Ada,Dua,Kecil,Omnivora
Lintah,Kecil,Tajam,Tidak Ada,Kecil,Karnivora
Kudanil,Panjang,Tidak Ada,Empat,Lebar,Herbivora
Salju,Kecil,Tumpul,Empat,Kecil,Omnivora
Kuda Zebra,Panjang,Tajam,Empat,Kecil,Herbivora
Tupai,Kecil,Runcing,Empat,Kecil,Omnivora
Belut,Panjang,Tajam,Tidak Ada,Kecil,Karnivora
Flounder,Lebih Panjang,Tumpul,Empat,Lebar,Karnivora
Kumbang,Kecil,Tidak Ada,Enam,Kecil,Herbivora
Kakak Tua,Kecil,Tumpul,Dua,Kecil,Omnivora
Landak,Pendek,Tajam,Empat,Kecil,Karnivora
Lemur,Panjang,Runcing,Empat,Kecil,Omnivora
Cacing,Kecil,Tajam,Tidak Ada,Tidak Ada,Karnivora
Manatee,Panjang,Tidak Ada,Empat,Lebar,Herbivora
Pegasus,Panjang,Tajam,Empat,Kecil,Herbivora
Quokka,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Rusa,Panjang,Runcing,Empat,Kecil,Herbivora
Scarab,Kecil,Tajam,Enam,Kecil,Karnivora
Wombat,Pendek,Tumpul,Empat,Kecil,Herbivora
X-ray Tetra,Kecil,Tumpul,Empat,Kecil,Karnivora
Yak,Lebih Panjang,Tidak Ada,Empat,Lebar,Herbivora
Zonkey,Panjang,Tidak Ada,Empat,Kecil,Herbivora
Nudibranch,Kecil,Tumpul,Tidak Ada,Kecil,Karnivora
Axolotl,Kecil,Runcing,Empat,Kecil,Omnivora
Cicak,Kecil,Tidak Ada,Empat,Kecil,Karnivora
Dugong,Panjang,Tidak Ada,Empat,Lebar,Herbivora
Eland,Panjang,Runcing,Empat,Kecil,Herbivora
Fossa,Panjang,Tajam,Empat,Lebar,Karnivora
Ostrich, Panjang, Tidak Ada, Empat, Kecil, Omnivora
Lynx, Pendek, Tajam, Empat, Kecil, Karnivora
Platypus, Pendek, Runcing, Empat, Kecil, Omnivora
Gajah,Panjang,Tidak Ada,Empat,Luas,Herbivora
Harimau,Pendek,Tajam,Empat,Lebih Kecil,Karnivora
Kuda,Panjang,Runcing,Empat,Sedang,Omnivora
Kanguru,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Buaya,Panjang,Tajam,Empat,Lebar,Karnivora
Kura-kura,Kecil,Tumpul,Empat,Lebar,Herbivora
Burung Hantu,Panjang,Tidak Ada,Dua,Kecil,Karnivora
Koala,Pendek,Tidak Ada,Empat,Kecil,Herbivora
Singa,Panjang,Tajam,Empat,Lebar,Karnivora
Siput,Kecil,Tidak Ada,Empat,Kecil,Herbivora
Katak,Kecil,Tidak Ada,Empat,Kecil,Omnivora
